id,tweetText,image_file,label,status
1,¿Se acuerdan de la película: “El día después de ma,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
2,@milenagimon: Miren a Sandy en NY!  Tremenda image,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
3,"Buena la foto del Huracán Sandy, me recuerda a la ",,fake,error: 'BaseModelOutputWithPooling' object has no attribu
4,Scary shit #hurricane #NY http://t.co/e4JLBUfH,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
5,My fave place in the world #nyc #hurricane #sandy ,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
6,42nd #time #square #NYC #subway #hurricane http://,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
7,Just in time for #halloween a photo of #hurricane ,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
8,Crazy pic of #Hurricane #Sandy prayers go out to f,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
9,#sandy #newyork #hurricane #statueofliberty #USA h,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
10,#nyc #hurricane http://t.co/Gv3QxZlq,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
11,robertosalibaba  god be with u brother #sandy #hur,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
12,#Crazy #Hurricane #Sandy http://t.co/0zrMsgvs,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
13,#shark #newjersey #swim #sandy #hurricane  http,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
14,Good luck #ny #newyork #usa #hurricane #sandy http,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
15,Wow.... Fishing anyone? #hurricane #sandy http://t,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
16,Well #howdy there #hurricane #sandy . Just wanted ,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
17,Just known this bcs of #jason #chen updated the pi,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
18,My thoughts and prayers go to all of the people go,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
19,Stay safe my New York family...#nyc #newyork #stor,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
20,New York #hurricane #Sandy http://t.co/AnrR8u7t,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
21,Probably the coolest pic of #hurricanesandy! #hurr,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
22,Crazy #sandy #hurricane images. Be glad we live in,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
23,My cousin sent this to me... :: Cleveland voice ::,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
24,We forget tomb unknown soldier is guard 24/7365 ! ,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
25,“@DarcyPhilip #new #york #hurricane #sandy http://,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
26,"New York ""attacked"" by Sandy.  #NewYork #statueofl",,fake,error: 'BaseModelOutputWithPooling' object has no attribu
27,This is sooo cute! #puupy #dog #hurricane #sandy #,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
28,empty streets #nyc #hurricane #sandy http://t.co/U,,fake,error: 'BaseModelOutputWithPooling' object has no attribu
